column 1,column 2,column 3,column 4,column 5
2.040000000000000000e+02,1.588000030999999979e+02,-9.300000000000000000e+01,-1.717177582000000058e+01,7.900000000000000000e+02
2.040000000000000000e+02,1.588000030999999979e+02,-9.300000000000000000e+01,-1.717318725999999884e+01,7.910045871559633497e+02
2.040000000000000000e+02,1.588000030999999979e+02,-9.300000000000000000e+01,-1.717155265999999969e+01,7.920091743119265857e+02
2.040000000000000000e+02,1.588000030999999979e+02,-9.300000000000000000e+01,-1.716937255999999934e+01,7.930137614678899354e+02
2.040000000000000000e+02,1.588000030999999979e+02,-9.300000000000000000e+01,-1.737984847999999971e+01,7.940183486238531714e+02
2.040000000000000000e+02,1.588000030999999979e+02,-9.300000000000000000e+01,-1.822201537999999843e+01,7.950229357798165211e+02
2.040000000000000000e+02,1.588000030999999979e+02,-9.300000000000000000e+01,-1.767577744000000095e+01,7.960275229357798707e+02
2.040000000000000000e+02,1.588000030999999979e+02,-9.300000000000000000e+01,-1.717372131000000124e+01,7.970321100917431068e+02
2.040000000000000000e+02,1.588000030999999979e+02,-9.300000000000000000e+01,-1.717424773999999843e+01,7.980366972477064564e+02
2.040000000000000000e+02,1.588000030999999979e+02,-9.300000000000000000e+01,-1.717187500000000000e+01,7.990412844036696924e+02
2.040000000000000000e+02,1.588000030999999979e+02,-9.300000000000000000e+01,-1.717158889999999971e+01,8.000458715596330421e+02
2.040000000000000000e+02,1.588000030999999979e+02,-9.300000000000000000e+01,-1.717031860000000165e+01,8.010504587155962781e+02
2.040000000000000000e+02,1.588000030999999979e+02,-9.300000000000000000e+01,-1.717276572999999829e+01,8.020550458715596278e+02
2.040000000000000000e+02,1.588000030999999979e+02,-9.300000000000000000e+01,-1.717037582000000029e+01,8.030596330275229775e+02
2.040000000000000000e+02,1.588000030999999979e+02,-9.300000000000000000e+01,-1.717165375000000083e+01,8.040642201834862135e+02
2.040000000000000000e+02,1.588000030999999979e+02,-9.300000000000000000e+01,-1.717230606000000037e+01,8.050688073394495632e+02
2.040000000000000000e+02,1.588000030999999979e+02,-9.300000000000000000e+01,-1.717230606000000037e+01,8.060733944954127992e+02
2.040000000000000000e+02,1.588000030999999979e+02,-9.300000000000000000e+01,-1.717130089000000126e+01,8.070779816513761489e+02
2.040000000000000000e+02,1.588000030999999979e+02,-9.300000000000000000e+01,-1.717610359000000031e+01,8.080825688073394986e+02
2.040000000000000000e+02,1.588000030999999979e+02,-9.300000000000000000e+01,-1.717158507999999983e+01,8.090871559633027346e+02
2.040000000000000000e+02,1.588000030999999979e+02,-9.300000000000000000e+01,-1.717021178999999975e+01,8.100917431192660842e+02
2.040000000000000000e+02,1.588000030999999979e+02,-9.300000000000000000e+01,-1.717370604999999983e+01,8.110963302752293203e+02
2.040000000000000000e+02,1.588000030999999979e+02,-9.300000000000000000e+01,-1.717222595000000140e+01,8.121009174311926699e+02
2.040000000000000000e+02,1.588000030999999979e+02,-9.300000000000000000e+01,-1.717689133000000012e+01,8.131055045871560196e+02
2.040000000000000000e+02,1.588000030999999979e+02,-9.300000000000000000e+01,-1.717056464999999932e+01,8.141100917431192556e+02
2.040000000000000000e+02,1.588000030999999979e+02,-9.300000000000000000e+01,-1.717268371999999843e+01,8.151146788990826053e+02
2.040000000000000000e+02,1.588000030999999979e+02,-9.300000000000000000e+01,-1.717348670999999882e+01,8.161192660550458413e+02
2.040000000000000000e+02,1.588000030999999979e+02,-9.300000000000000000e+01,-1.717393683999999965e+01,8.171238532110091910e+02
2.040000000000000000e+02,1.588000030999999979e+02,-9.300000000000000000e+01,-1.717111397000000039e+01,8.181284403669724270e+02
2.040000000000000000e+02,1.588000030999999979e+02,-9.300000000000000000e+01,-1.717170906000000130e+01,8.191330275229357767e+02
2.040000000000000000e+02,1.588000030999999979e+02,-9.300000000000000000e+01,-1.717344665999999975e+01,8.201376146788991264e+02
2.040000000000000000e+02,1.588000030999999979e+02,-9.300000000000000000e+01,-1.717119025999999948e+01,8.211422018348623624e+02
2.040000000000000000e+02,1.588000030999999979e+02,-9.300000000000000000e+01,-1.717188834999999969e+01,8.221467889908257121e+02
2.040000000000000000e+02,1.588000030999999979e+02,-9.300000000000000000e+01,-1.717286109999999866e+01,8.231513761467889481e+02
2.040000000000000000e+02,1.588000030999999979e+02,-9.300000000000000000e+01,-1.717237854000000041e+01,8.241559633027522977e+02
2.040000000000000000e+02,1.588000030999999979e+02,-9.300000000000000000e+01,-1.717210388000000165e+01,8.251605504587156474e+02
2.040000000000000000e+02,1.588000030999999979e+02,-9.300000000000000000e+01,-1.717497443999999973e+01,8.261651376146788834e+02
2.040000000000000000e+02,1.588000030999999979e+02,-9.300000000000000000e+01,-1.717324066000000116e+01,8.271697247706422331e+02
2.040000000000000000e+02,1.589640004999999974e+02,-9.300000000000000000e+01,-1.717341994999999955e+01,8.281743119266054691e+02
2.040000000000000000e+02,1.593639943999999957e+02,-9.300000000000000000e+01,-1.717380332999999837e+01,8.291788990825688188e+02
2.040000000000000000e+02,1.599279857999999876e+02,-9.300000000000000000e+01,-1.717207146000000151e+01,8.301834862385321685e+02
2.040000000000000000e+02,1.607279736000000128e+02,-9.300000000000000000e+01,-1.717301177999999950e+01,8.311880733944954045e+02
2.040000000000000000e+02,1.615224786999999935e+02,-9.300000000000000000e+01,-1.717076683000000159e+01,8.321926605504587542e+02
2.040000000000000000e+02,1.621598703999999884e+02,-9.300000000000000000e+01,-1.716974068000000031e+01,8.331972477064219902e+02
2.040000000000000000e+02,1.627279431000000045e+02,-9.300000000000000000e+01,-1.716961098000000163e+01,8.342018348623853399e+02
2.040000000000000000e+02,1.635224482000000137e+02,-9.300000000000000000e+01,-1.716909217999999981e+01,8.352064220183485759e+02
2.040000000000000000e+02,1.641571213000000000e+02,-9.300000000000000000e+01,-1.716854477000000045e+01,8.362110091743119256e+02
2.040000000000000000e+02,1.647197500000000048e+02,-9.300000000000000000e+01,-1.716862487999999942e+01,8.372155963302752752e+02
2.040000000000000000e+02,1.655279003999999929e+02,-9.300000000000000000e+01,-1.716766548000000014e+01,8.382201834862385113e+02
2.040000000000000000e+02,1.661638906999999961e+02,-9.300000000000000000e+01,-1.716267966999999928e+01,8.392247706422018609e+02
2.040000000000000000e+02,1.667278820999999880e+02,-9.300000000000000000e+01,-1.716039276000000058e+01,8.402293577981650969e+02
2.040000000000000000e+02,1.675278699000000131e+02,-9.300000000000000000e+01,-1.715948105000000012e+01,8.412339449541284466e+02
2.040000000000000000e+02,1.683278577000000098e+02,-9.300000000000000000e+01,-1.715983390999999969e+01,8.422385321100917963e+02
2.040000000000000000e+02,1.691223627999999906e+02,-9.300000000000000000e+01,-1.715790366999999961e+01,8.432431192660550323e+02
2.040000000000000000e+02,1.697597543999999914e+02,-9.300000000000000000e+01,-1.715512657000000019e+01,8.442477064220183820e+02
2.040000000000000000e+02,1.703278271000000075e+02,-9.300000000000000000e+01,-1.715581893999999963e+01,8.452522935779816180e+02
2.040000000000000000e+02,1.709638174000000106e+02,-9.300000000000000000e+01,-1.715418053000000143e+01,8.462568807339449677e+02
2.040000000000000000e+02,1.715223260999999866e+02,-9.300000000000000000e+01,-1.715275001999999915e+01,8.472614678899083174e+02
2.040000000000000000e+02,1.723196340000000077e+02,-9.300000000000000000e+01,-1.715195465000000041e+01,8.482660550458715534e+02
2.040000000000000000e+02,1.731223017000000084e+02,-9.300000000000000000e+01,-1.715114784000000014e+01,8.492706422018349031e+02
