arraywave1 arraywave2 arraywave3 arraywave4 arraywave5 arraywave6 arraywave7 arraywave8 arraywave9 arraywave10 arraywave11 arraywave12 arraywave13 arraywave14 arraywave15 arraywave16 arraywave17 arraywave18 arraywave19 arraywave20 arraywave21 arraywave22 arraywave23 arraywave24 arraywave25 arraywave26 arraywave27 arraywave28 arraywave29 arraywave30 arraywave31 arraywave32 arraywave33 arraywave34 arraywave35 arraywave36 arraywave37 arraywave38 arraywave39 arraywave40
nan nan nan nan nan -0.08015842735767 -0.03133100271225 -0.002390623092651 0.02929516136646 0.04873999208212 0.07744173705578 0.1032331585884 0.1255245357752 0.1499306708574 0.1626006960869 0.1687622368336 0.1739677190781 0.1717215776443 0.1663912087679 0.1611296385527 0.1508932560682 0.1408394277096 0.1302977651358 0.1180577501655 0.1069010794163 0.09278857707977 0.07982134073973 0.06606417894363 0.05103695392609 0.04036664962769 0.02944985032082 0.0177144408226 0.007268831133842 -0.003476053476334 -0.0175429880619 -0.02804093062878 -0.03772839903831 -0.04576632380486 -0.0520645827055 -0.04974274337292
nan nan nan nan nan -0.09987743198872 -0.04901652038097 -0.01962742209435 0.003897234797478 0.02048401534557 0.04386110603809 0.07309908419847 0.1002211123705 0.1198542416096 0.1331576853991 0.1403457969427 0.1470878124237 0.1495812535286 0.148563593626 0.1428016424179 0.1318764835596 0.1199354976416 0.1072900518775 0.09919047355652 0.08822491019964 0.07824150472879 0.06899473071098 0.05627298355103 0.04346998780966 0.03393386304379 0.02573345601559 0.01585020124912 0.002288237214088 -0.01408532261848 -0.03028893470764 -0.03528161346912 -0.04077407717705 -0.04870723187923 -0.05550935864449 -0.05559323728085
nan nan nan nan nan nan -0.07078139483929 -0.04946990311146 -0.02911773324013 -0.009845495223999 0.01381039619446 0.04196731001139 0.0660400390625 0.08331479877234 0.09846962988377 0.1119750440121 0.1194938421249 0.1236925721169 0.1218771412969 0.1170136928558 0.1064731255174 0.09439922869205 0.08666498214006 0.0778946429491 0.06735726445913 0.05735832452774 0.04792886972427 0.04110008478165 0.03295017033815 0.02296449244022 0.01386697590351 0.005547732114792 -0.007597967982292 -0.02257412672043 -0.0317155122757 -0.04014623165131 -0.04776500165462 -0.0531500428915 -0.05874784290791 -0.06831076741219
nan nan nan nan nan nan -0.1028553843498 -0.08219788968563 -0.06070105731487 -0.03653654456139 -0.01265315711498 0.01693332195282 0.03387400507927 0.04806295782328 0.06578205525875 0.0829853489995 0.08994288742542 0.09238420426846 0.09032749384642 0.08841955661774 0.08147777616978 0.06863343715668 0.05962972342968 0.05260076373816 0.04571651667356 0.03705079853535 0.02865964174271 0.02187341451645 0.01637786626816 0.008104607462883 0.001211047172546 -0.006044209003448 -0.0185708552599 -0.02951982617378 -0.0388930439949 -0.04326504468918 -0.04962912201881 -0.05645249783993 -0.06585986912251 nan
nan nan nan nan nan nan -0.144004046917 -0.1163471341133 -0.0931286662817 -0.06392933428288 -0.03704881668091 -0.01099219918251 0.00885197520256 0.02087676525116 0.03761054575443 0.05130176246166 0.05760271847248 0.05897514522076 0.05999980121851 0.05773670971394 0.05316103994846 0.0451882481575 0.03546903282404 0.03109481930733 0.02545780688524 0.01968674361706 0.009753927588463 0.005815863609314 0.001251518726349 -0.008194014430046 -0.009142398834229 -0.01181417703629 -0.02315807342529 -0.03440952301025 -0.0431869328022 -0.04996806383133 -0.05851379036903 -0.06485830247402 -0.07492916285992 nan
nan nan nan nan nan nan -0.1795507669449 -0.1483682990074 -0.1221830546856 -0.09391570091248 -0.0653447508812 -0.04299739003181 -0.0252575725317 -0.007145032286644 0.008492425084114 0.01986490190029 0.02517243474722 0.02813587337732 0.02830605208874 0.02639731764793 0.02252574265003 0.01703853905201 0.01125936210155 0.006630003452301 0.005554720759392 -0.0008513182401657 -0.005657777190208 -0.01106372475624 -0.01689660549164 -0.02390660345554 -0.02495065331459 -0.02225430309772 -0.03127577900887 -0.04069957137108 -0.04718235135078 -0.05485138297081 -0.06743703782558 -0.07269623875618 -0.08357690274715 nan
nan nan nan nan nan nan nan -0.1715711057186 -0.1444544196129 -0.1224498152733 -0.1017265021801 -0.08162631094456 -0.0607442855835 -0.04136736690998 -0.02556824684143 -0.0168721228838 -0.01239791512489 -0.009985893964767 -0.005520448088646 -0.006411582231522 -0.009154126048088 -0.01207768917084 -0.01662597060204 -0.01416939496994 -0.01573720574379 -0.02238519489765 -0.02353253960609 -0.02755296230316 -0.03709556162357 -0.04675075411797 -0.04748210310936 -0.04341584444046 -0.04679852724075 -0.05243666470051 -0.05566082894802 -0.06476779282093 -0.07945047318935 -0.08181615173817 nan nan
nan nan nan nan nan nan nan -0.1898984611034 -0.1644193232059 -0.1445716619492 -0.1314185857773 -0.1150336563587 -0.09502412378788 -0.07449668645859 -0.06292262673378 -0.05712400376797 -0.05308973789215 -0.04635940492153 -0.03843539953232 -0.03440392017365 -0.03365153074265 -0.03494153916836 -0.03832040727139 -0.03735211491585 -0.03858259320259 -0.04291334748268 -0.04688605666161 -0.05015167593956 -0.06035500764847 -0.06952938437462 -0.07247425615788 -0.06935280561447 -0.06874570250511 -0.0663405507803 -0.06384491920471 -0.07656589150429 -0.09288527071476 -0.09925381839275 -0.1140965819359 nan
nan nan nan nan nan nan nan -0.2144054472446 -0.1875945925713 -0.167378693819 -0.1550274193287 -0.136853903532 -0.1254898309708 -0.1147868931293 -0.1012226641178 -0.09234370291233 -0.08357991278172 -0.07434917986393 -0.06593772768974 -0.05939668416977 -0.05737113952637 -0.05983509123325 -0.06121118366718 -0.05920165777206 -0.05993753671646 -0.06561420857906 -0.07022219896317 -0.07493405044079 -0.08313570916653 -0.08910262584686 -0.08487704396248 -0.08427569270134 -0.08856366574764 -0.08468279242516 -0.07713831961155 -0.08761571347713 -0.09903906285763 -0.1096723675728 -0.1258878111839 nan
nan nan nan nan nan nan nan -0.230771780014 -0.2041805684566 -0.1895392537117 -0.1793390512466 -0.1673730909824 -0.1595079898834 -0.1528598964214 -0.1388534903526 -0.1230556368828 -0.1134093701839 -0.1038487553596 -0.09170171618462 -0.08656483888626 -0.08521175384521 -0.08623977005482 -0.08477847278118 -0.08170001208782 -0.08067941665649 -0.08389854431152 -0.09157904982567 -0.09198272228241 -0.0965564250946 -0.09671315550804 -0.0899563729763 -0.09539122879505 -0.1088743805885 -0.1039026379585 -0.08567351102829 -0.08658023178577 -0.09258794784546 -0.1102690696716 nan nan
